recipe_id,name,description,prep_time_minutes,cook_time_minutes,difficulty,servings,tags,cuisines
aloo_paratha,Aloo Paratha,Aloo Paratha recipe,25,15,Medium,2,Indian|Breakfast,Global
chicken_biryani,Chicken Biryani,Chicken Biryani recipe,40,45,Hard,2,Indian,Global
cutlet,Cutlet,Cutlet recipe,20,10,Medium,2,Snack,Global
dal_tadka,Dal Tadka,Dal Tadka recipe,15,20,Easy,2,Indian,Global
fish_fry,Fish Fry,Fish Fry recipe,15,10,Easy,2,Seafood,Global
gulab_jamun,Gulab Jamun,Gulab Jamun recipe,10,20,Medium,2,Dessert,Global
idiyappam,Idiyappam,Idiyappam recipe,20,10,Medium,2,Breakfast,Global
idli_sambar,Idli Sambar,Traditional South Indian breakfast of steamed idlis served with aromatic sambar.,20,45,Medium,4,breakfast|vegetarian|steamed|traditional,South Indian
khichdi,Khichdi,Khichdi recipe,15,20,Easy,2,Comfort Food,Global
mango_shake,Mango Shake,Mango Shake recipe,5,0,Easy,2,Drink,Global
masala_dosa,Masala Dosa,Masala Dosa recipe,30,20,Medium,2,South Indian|Breakfast,Global
paneer_butter_masala,Paneer Butter Masala,Paneer Butter Masala recipe,20,25,Medium,2,Indian|Dinner,Global
pav_bhaji,Pav Bhaji,Pav Bhaji recipe,20,25,Easy,2,Street Food,Global
poha,Poha,Poha recipe,10,5,Easy,2,Breakfast,Global
recipe_negative_prep,Impossible Dish,Invalid negative prep time,-10,20,Easy,2,,
upma,Upma,Upma recipe,10,10,Easy,2,Breakfast,Global
veg_fried_rice,Veg Fried Rice,Veg Fried Rice recipe,15,10,Easy,2,Chinese|Lunch,Global
